,RF_F1,RF_AUC,XGB_F1,XGB_AUC
Amikacin,0.30859835100117783,0.6280792199983813,0.28841201716738196,0.5986152543156775
Amoxicillin-Ampicillin,0.7262652382711489,0.6926830865976681,0.7447988904299584,0.6935739551945499
Amoxicillin-Clavulanate,0.7088888888888889,0.6779348055790362,0.7431693989071039,0.6705815018315018
Cefazolin,0.728486646884273,0.7123152764657426,0.7496542185338866,0.7049651924475123
Cefoxitin,0.7256571640133284,0.708094213295074,0.7467309015829319,0.6929233753121845
Ceftazidime,0.9912240184757506,0.9913003663003663,0.9970326409495549,0.9913003663003663
Ceftriaxone-Cefotaxime,0.7245087133852428,0.7019486182032972,0.7510373443983402,0.6903028698451311
Chloramphenicol,0.2860576923076923,0.6707599399907092,0.28873917228103946,0.6684734184734185
Ciprofloxacin,0.271356783919598,0.6487330572632578,0.2876447876447876,0.6447908495539705
Colistin,0.2849936948297604,0.6738377664864473,0.2894736842105263,0.6579615934036129
Gentamicin,0.27699018538713194,0.5807902564514832,0.31960461285008235,0.5892823646059436
Imipenem,0.7291273139403098,0.7111843785951503,0.7447787610619468,0.7049469267948105
Nalidixic Acid,0.22894736842105262,0.6471095146352221,0.2537165510406343,0.6426005663749682
Nitrofurantoin,0.2657894736842105,0.6618625902527077,0.27755102040816326,0.6535753234055355
Ofloxacin,0.2540983606557377,0.6294346805530899,0.26666666666666666,0.6403090912677278
Trimethoprim-Sulfamethoxazole,0.2812903225806452,0.692080035282375,0.2883435582822086,0.6865304117050828
